org_id	latin_name	ncbi_id
TAX-1458	Metabacillus fastidiosus	1458
TAX-146094	Gypsophila <eudicots>	146094
TAX-1461175	Berberidoideae	1461175
TAX-1461176	Podophylloideae	1461176
TAX-1462606	Glycine subgen. Soja	1462606
TAX-1462614	Papaveroideae	1462614
TAX-1463136	Coptidoideae	1463136
TAX-1463137	Thalictroideae	1463137
TAX-1463138	Ranunculoideae	1463138
TAX-1463139	Adonideae	1463139
TAX-1463140	Delphinieae	1463140
TAX-1463147	Anemoneae	1463147
TAX-146535	Avena ventricosa	146535
TAX-147273	Taxus wallichiana	147273
TAX-147367	Oryzoideae	147367
TAX-147368	Pooideae	147368
TAX-147369	Panicoideae	147369
TAX-147370	PACMAD clade	147370
TAX-147371	Chloridoideae	147371
TAX-147380	Oryzeae	147380
TAX-147385	Brachypodieae	147385
TAX-147387	Poeae	147387
TAX-147388	Bromeae	147388
TAX-147389	Triticeae	147389
TAX-147428	Paniceae	147428
TAX-147429	Andropogoneae	147429
TAX-147431	Arundineae	147431
TAX-147498	Pleosporales incertae sedis	147498
TAX-147537	Saccharomycotina	147537
TAX-147538	Pezizomycotina	147538
TAX-147541	Dothideomycetes	147541
TAX-147545	Eurotiomycetes	147545
TAX-147547	Lecanoromycetes	147547
TAX-147548	Leotiomycetes	147548
TAX-147550	Sordariomycetes	147550
TAX-147554	Schizosaccharomycetes	147554
TAX-1476995	Allium ascalonicum	1476995
TAX-1477431	Streptomyces albidoflavus group	1477431
TAX-1478145	Glebionis	1478145
TAX-1478958	Ligeriinae	1478958
TAX-1481960	Peptoclostridium	1481960
TAX-1482596	Streptomyces griseus subgroup	1482596
TAX-148303	Magnaporthe	148303
TAX-1484898	Methyloceanibacter	1484898
TAX-1485	Clostridium	1485
TAX-1488	Clostridium acetobutylicum	1488
TAX-1489341	Osteoglossocephalai	1489341
TAX-1491	Clostridium botulinum	1491
TAX-1495	Clostridium cylindrosporum	1495
TAX-149690	Dimorphandra	149690
TAX-149691	Dimorphandra mollis	149691
TAX-1498435	Catharanthinae	1498435
TAX-1498436	Rauvolfiinae	1498436
TAX-1498477	Asclepiadinae	1498477
TAX-1499392	Chromobacteriaceae	1499392
TAX-150094	Thalictrum flavum	150094
TAX-150095	Thalictrum flavum	150095
TAX-1501	Clostridium pasteurianum	1501
TAX-150275	Eulophinae	150275
TAX-1503	Gottschalkia purinilytica	1503
TAX-1505648	Geobacillus thermoleovorans group	1505648
TAX-1505664	Gottschalkia	1505664
TAX-1506577	Tyzzerella	1506577
TAX-150830	Roseibium	150830
TAX-1508657	Ruminiclostridium	1508657
TAX-1509	Clostridium sporogenes	1509
TAX-150966	Nepenthes gracilis	150966
TAX-150983	Nepenthes mirabilis	150983
TAX-150990	Nepenthes rafflesiana	150990
TAX-151068	Litchi	151068
TAX-151069	Litchi chinensis	151069
TAX-151078	Adonis aestivalis	151078
TAX-1511	Acetoanaerobium sticklandii	1511
TAX-151157	Acetobacter subgen. Acetobacter	151157
TAX-1515	Acetivibrio thermocellus	1515
TAX-1520	Clostridium beijerinckii	1520
TAX-1520881	OSLEUM clade	1520881
TAX-1521257	Ophioglossidae	1521257
TAX-1521258	Equisetidae	1521258
TAX-1521260	Lycopodiopsida	1521260
TAX-1521262	Polypodiidae <ferns>	1521262
TAX-1524962	Chlorodendrophyceae	1524962
TAX-1525	Moorella thermoacetica	1525
TAX-1525212	Bathycoccaceae	1525212
TAX-1525719	Palicoureeae	1525719
TAX-152601	Pierini	152601
TAX-153142	Camellia irrawadiensis	153142
TAX-1534	Clostridium kluyveri	1534
TAX-1535325	Candida/Lodderomyces clade	1535325
TAX-1535326	Candida <clade Candida/Lodderomyces clade>	1535326
TAX-153658	Lunaria	153658
TAX-153659	Lunaria annua	153659
TAX-15367	Brachypodium	15367
TAX-15368	Brachypodium distachyon	15368
TAX-15371	Bromus inermis	15371
TAX-153742	Cinchona calisaya	153742
TAX-1538097	Boraginales	1538097
TAX-1540042	Ogataea/Candida clade	1540042
TAX-1540222	Narcissus aff. pseudonarcissus MK-2014	1540222
TAX-1549675	Galloanserae	1549675
TAX-1556	Gottschalkia acidurici	1556
TAX-155616	Tremellomycetes	155616
TAX-155619	Agaricomycetes	155619
TAX-156152	Plantaginaceae	156152
TAX-156631	Arundinoideae	156631
TAX-157	Treponema	157
TAX-1573	Clavibacter	1573
TAX-15745	Phragmites	15745
TAX-157791	Vigna radiata	157791
TAX-1578	Lactobacillus	1578
TAX-157822	Lecanorineae	157822
TAX-157920	Cellulosimicrobium	157920
TAX-157934	Ophiorrhiza pumila	157934
TAX-158	Treponema denticola	158
TAX-158080	Chromohalobacter salexigens	158080
TAX-1582	Lacticaseibacillus casei	1582
TAX-158333	Vanilloideae	158333
TAX-158369	Vanillinae	158369
TAX-1584	Lactobacillus delbrueckii	1584
TAX-1585	Lactobacillus delbrueckii	1585
TAX-15853	Spartina	15853
TAX-1585427	Onagroideae	1585427
TAX-1585432	Onagreae	1585432
TAX-1588	Lentilactobacillus hilgardii	1588
TAX-1589822	Conium clade	1589822
TAX-1590	Lactiplantibacillus plantarum	1590
TAX-159385	Nothapodytes	159385
TAX-159386	Nothapodytes nimmoniana	159386
TAX-15945	Zea luxurians	15945
TAX-15956	Phleum	15956
TAX-15957	Phleum pratense	15957
TAX-1613	Limosilactobacillus fermentum	1613
TAX-161934	Beta vulgaris	161934
TAX-162425	Aspergillus nidulans	162425
TAX-162481	Microbotryomycetes	162481
TAX-162491	Oerskovia	162491
TAX-163090	Caesalpinieae	163090
TAX-163091	Cassieae	163091
TAX-163343	Trichostomatia	163343
TAX-163485	Acacieae	163485
TAX-163486	Ingeae	163486
TAX-163487	Mimoseae	163487
TAX-16360	Alismatales	16360
TAX-16367	Pontederiaceae	16367
TAX-163717	Aeschynomeneae	163717
TAX-163718	Amorpheae	163718
TAX-163722	Cicereae	163722
TAX-163725	Dalbergieae	163725
TAX-163726	Desmodieae	163726
TAX-163728	Galegeae	163728
TAX-163729	Genisteae	163729
TAX-163733	Millettieae	163733
TAX-163735	Phaseoleae	163735
TAX-163738	Robinieae	163738
TAX-163739	Sophoreae	163739
TAX-163742	Trifolieae	163742
TAX-163743	Fabeae	163743
TAX-163747	Loteae	163747
TAX-1639119	Plasmodiidae	1639119
TAX-164112	x Citrofortunella	164112
