genus	species	short_name	symbol	ncbi
Gerbera	hybrid	Gerbera hybrid cultivar	Gh	18101
Gibberella	zeae	Fusarium graminearum	Gz	5518
Ginkgo	biloba	Ginkgo biloba	Gb	3311
Glandularia	x	Glandularia x hybrida	Gx	76714
Glebionis	segetum	Glebionis segetum	Gls	118509
Glycine	max	Soybean	Gm	3847
Glycine	max	Glycine max	Glm	3847
Glycyrrhiza	echinata	Glycyrrhiza echinata	Gle	46348
Glycyrrhiza	glabra	Glycyrrhiza glabra	Glg	49827
Glycyrrhiza	uralensis	Glycyrrhiza uralensis	Gu	74613
Gossypium		Gossypium		3633
Gossypium	arboreum	Gossypium arboreum	Ga	29729
Gossypium	barbadense	Gossypium barbadense	Gob	3634
Gossypium	hirsutum	Gossypium hirsutum	Goh	3635
Guatteria	blepharophylla	Guatteria blepharophylla	Gub	402568
Guatteria	friesiana	Guatteria friesiana	Gf	402569
Guatteria	hispida	Guatteria hispida	Guh	402570
Gunneridae		Gunneridae		91827
Gypsophila	vaccaria	Gypsophila vaccaria	Gv	39387
Gyrinops		Gyrinops		223756
Haematococcus	lacustris	Haematococcus lacustris	Hl	44745
Haemodoraceae		Haemodoraceae		54924
Halobacterium	salinarum	Halobacterium salinarum	Has	2242
Haloferax	volcanii	Haloferax volcanii	Hav	2246
Haptophyta		Haptophyta		2830
Hedychium		Hedychium		4645
Helianthus	annuus	Helianthus annuus	Ha	4232
Helianthus	tuberosus	Helianthus tuberosus	Ht	4233
Helicobacter	pylori	Helicobacter pylori	Hp	85962
Hevea	brasiliensis	Hevea brasiliensis	Hb	3981
Homo	sapiens	Human	Hs	9606
Homo	sapiens	Homo sapiens	Hos	9606
Hordeum		Hordeum		4512
Hordeum	lechleri	Hordeum lechleri	Hol	38856
Hordeum	vulgare	Hordeum vulgare	Hov	4513
Hordeum 	vulgare 	Barley 	Hv	4513
Humulus	lupulus	Humulus lupulus	Hul	3486
Hydrangea	macrophylla	Hydrangea macrophylla	Hm	23110
Hyoscyamus	albus	Hyoscyamus albus	Hya	310458
Hyoscyamus	muticus	Hyoscyamus muticus	Hym	35626
Hyoscyamus	niger	Hyoscyamus niger	Hn	4079
Hypericum	androsaemum	Hypericum androsaemum	Ha2	140968
Hypericum	calycinum	Hypericum calycinum	Hc	55963
Hypericum	perforatum	Hypericum perforatum	Hyp	65561
Hyphomicrobiales		Hyphomicrobiales		356
Hyphomicrobium	zavarzinii	Hyphomicrobium zavarzinii	Hz	48292
Ilex	paraguariensis	Yerba mate	Ip	185542
